CNAE,Cod. Atividade
161001,713
161002,711
161003,1705
161099,3601
162801,504
162802,508
162803,508
162899,1701
163600,714
210107,716
210199,714
220901,716
220903,1705
220904,1705
220905,1705
220906,716
220999,1705
230600,714
311603,1705
311604,1701
312403,1705
312404,1701
321305,1701
322107,1701
910600,719
1340501,1410
1340502,1410
1340599,1410
1412602,1409
1413402,1409
1531902,1405
1811301,1304
1811302,1304
1812100,1304
1813001,1304
1813099,1304
1821100,1304
1822901,1408
1822999,1408
1830001,1301
1830002,1301
1830003,107
2212900,1404
2330301,702
2330305,702
2391501,1405
2391502,1405
2391503,1405
2399101,4001
2512800,1413
2539001,1401
2539002,1405
2542000,1413
2599301,702
2621300,1406
2722802,1401
2950600,1403
3031800,1406
3041500,1406
3211601,3901
3250703,414
3250706,414
3311200,1401
3312102,3101
3312103,3101
3312104,1402
3313901,1402
3313902,1402
3313999,1402
3314701,1402
3314702,1402
3314703,1402
3314704,1402
3314705,1402
3314706,1402
3314707,1402
3314708,1402
3314709,1402
3314710,1402
3314711,1402
3314712,1402
3314713,1402
3314714,1402
3314715,1402
3314716,1402
3314717,1402
3314718,1402
3314719,1402
3314720,1402
3314721,1402
3314722,1402
3314799,1402
3315500,1402
3316301,1402
3316302,1402
3317101,1402
3317102,1402
3319800,1402
3321000,1406
3329501,1406
3329599,1406
3514000,1010
3520402,1010
3701100,712
3702900,712
3811400,709
3812200,718
3821100,712
3822000,712
3839401,712
3900500,712
4120400,702
4211101,702
4211102,710
4212000,702
4213800,705
4221901,702
4221902,702
4221903,1401
4221904,702
4221905,3101
4222701,702
4222702,702
4223500,702
4291000,702
4292801,1406
4292802,702
4299501,702
4299599,702
4311801,704
4311802,702
4312600,702
4313400,702
4319300,702
4321500,3101
4322301,702
4322302,1406
4322303,702
4329101,1406
4329102,1406
4329103,1406
4329104,1406
4329105,708
4329199,702
4330401,702
4330402,1406
4330403,702
4330404,710
4330405,3101
4330499,702
4391600,702
4399101,717
4399102,1406
4399103,702
4399104,3101
4399105,702
4399199,702
4512901,1009
4512902,1009
4520001,1412
4520002,1412
4520003,1412
4520004,1412
4520005,1401
4520006,1404
4520007,1412
4530706,1009
4542101,1009
4542102,1009
4543900,1412
4611700,1009
4612500,1009
4613300,1009
4614100,1009
4615000,1009
4616800,1009
4617600,1009
4618401,1009
4618402,1009
4618403,1009
4618499,1009
4619200,1009
4751202,1405
4912402,1601
4912403,1601
4921301,1601
4923001,1601
4923002,1601
4924800,1601
4929901,1601
4929903,903
4929904,903
4929999,1601
4930201,1601
4930203,1601
4930204,1601
4940000,1601
4950700,1601
